metric,n_users,series,mean,std,min,max,n
feasible_rate,50,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,50,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,75,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,75,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,100,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,100,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,125,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,125,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,150,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,150,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,175,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,175,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,200,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,200,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,300,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,300,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,400,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,400,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,500,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,500,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,600,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,600,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,700,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,700,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,800,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,800,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,900,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,900,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,1000,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,1000,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,1500,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,1500,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,2000,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,2000,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,2500,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,2500,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,3000,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,3000,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,3500,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,3500,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,4000,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,4000,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,4500,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,4500,MILP,1.0,0.0,1.0,1.0,5
feasible_rate,5000,Heuristic,1.0,0.0,1.0,1.0,5
feasible_rate,5000,MILP,1.0,0.0,1.0,1.0,5
optimal_solve_rate,50,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,75,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,100,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,125,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,150,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,175,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,200,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,300,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,400,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,500,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,600,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,700,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,800,MILP optimal,0.8,0.4,0.0,1.0,5
optimal_solve_rate,900,MILP optimal,1.0,0.0,1.0,1.0,5
optimal_solve_rate,1000,MILP optimal,0.8,0.4,0.0,1.0,5
optimal_solve_rate,1500,MILP optimal,0.6,0.4898979485566356,0.0,1.0,5
optimal_solve_rate,2000,MILP optimal,0.2,0.4,0.0,1.0,5
optimal_solve_rate,2500,MILP optimal,0.2,0.4,0.0,1.0,5
optimal_solve_rate,3000,MILP optimal,0.2,0.4,0.0,1.0,5
optimal_solve_rate,3500,MILP optimal,0.6,0.4898979485566356,0.0,1.0,5
optimal_solve_rate,4000,MILP optimal,0.2,0.4,0.0,1.0,5
optimal_solve_rate,4500,MILP optimal,0.0,0.0,0.0,0.0,5
optimal_solve_rate,5000,MILP optimal,0.0,0.0,0.0,0.0,5
K,50,Heuristic,22.4,1.624807680927192,20.0,25.0,5
K,50,MILP,25.4,2.3323807579381204,23.0,29.0,5
K,75,Heuristic,31.4,4.2708313008125245,25.0,37.0,5
K,75,MILP,29.6,2.5768197453450252,27.0,34.0,5
K,100,Heuristic,39.0,3.7416573867739413,35.0,46.0,5
K,100,MILP,36.0,5.215361924162119,32.0,46.0,5
K,125,Heuristic,44.0,6.752777206453653,36.0,53.0,5
K,125,MILP,41.6,6.468384651518492,36.0,50.0,5
K,150,Heuristic,51.4,6.1838499334961226,44.0,60.0,5
K,150,MILP,47.2,4.915282290977803,40.0,53.0,5
K,175,Heuristic,54.0,5.477225575051661,48.0,64.0,5
