metric,n_users,series,mean,median,std,p10,p90,min,max,n
feasible_rate,50,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,50,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,75,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,75,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,100,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,100,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,125,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,125,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,150,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,150,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,200,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,200,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,300,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,300,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,500,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,500,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,1000,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
feasible_rate,1000,MILP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,50,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,75,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,100,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,125,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,150,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,200,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,300,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,500,MILP optimal,0.2,0.0,0.4,0.0,0.6000000000000001,0.0,1.0,5
optimal_solve_rate,1000,MILP optimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
K,50,Heuristic,22.4,22.0,1.624807680927192,20.8,24.2,20.0,25.0,5
K,50,MILP,25.4,25.0,2.3323807579381204,23.0,28.2,23.0,29.0,5
K,75,Heuristic,31.4,31.0,4.2708313008125245,26.6,36.2,25.0,37.0,5
K,75,MILP,29.6,28.0,2.5768197453450252,27.4,32.8,27.0,34.0,5
K,100,Heuristic,39.0,38.0,3.7416573867739413,35.8,43.2,35.0,46.0,5
K,100,MILP,36.0,34.0,5.215361924162119,32.0,42.0,32.0,46.0,5
K,125,Heuristic,44.0,41.0,6.752777206453653,37.2,52.2,36.0,53.0,5
K,125,MILP,41.6,37.0,6.468384651518492,36.0,49.6,36.0,50.0,5
K,150,Heuristic,51.4,50.0,6.1838499334961226,44.8,58.8,44.0,60.0,5
K,150,MILP,47.2,49.0,4.915282290977803,41.2,52.2,40.0,53.0,5
K,200,Heuristic,57.4,57.0,6.151422599691879,50.6,63.8,47.0,65.0,5
K,200,MILP,52.4,52.0,6.343500610861482,46.0,59.8,46.0,63.0,5
K,300,Heuristic,72.2,69.0,7.678541528180986,66.4,81.0,66.0,87.0,5
K,300,MILP,62.4,61.0,3.4409301068170506,59.8,66.2,59.0,69.0,5
K,500,Heuristic,103.4,85.0,25.048752463945185,83.4,135.0,83.0,145.0,5
K,500,MILP,4364.8,6510.0,3437.321480455385,202.4,7599.8,90.0,8293.0,5
K,1000,Heuristic,159.4,154.0,33.452055243288115,128.2,197.6,123.0,220.0,5
K,1000,MILP,590.0,580.0,76.9285382676676,519.4,676.2,507.0,731.0,5
used_sats,50,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,50,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,75,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,75,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,100,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,100,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,125,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,125,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,150,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,150,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,200,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,200,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,300,Heuristic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
used_sats,300,MILP,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5
used_sats,500,Heuristic,2.0,2.0,0.0,2.0,2.0,2.0,2.0,5
used_sats,500,MILP,75.6,87.0,39.19489762711468,31.200000000000003,108.8,2.0,116.0,5
used_sats,1000,Heuristic,3.0,3.0,0.0,3.0,3.0,3.0,3.0,5
used_sats,1000,MILP,90.2,86.0,16.50939126679115,74.6,109.0,69.0,119.0,5
mean_beam_load,50,Heuristic,0.1458609635715779,0.14536635637654835,0.036429268128799326,0.10807678770018266,0.1867829826873731,0.0993013923382491,0.2071205366368472,5
mean_beam_load,50,MILP,0.14333054234682402,0.142099303046643,0.037689184946682136,0.10660827159661082,0.18325869517027848,0.09184090852380944,0.20838710793568307,5
mean_beam_load,75,Heuristic,0.14619607513743613,0.13622288823922535,0.03127422887781406,0.12378561567811495,0.17914594168206385,0.11793313299203671,0.20720967891294662,5
mean_beam_load,75,MILP,0.1699963458379324,0.15707580415232353,0.028252388139963124,0.14207452487002734,0.20473898618003084,0.13726717259582513,0.21098853257978867,5
mean_beam_load,100,Heuristic,0.1535202072326968,0.1539539603501402,0.03334416870292548,0.11756282178239072,0.1903154822994472,0.10583216496927239,0.20626520381322969,5
mean_beam_load,100,MILP,0.18471595187348375,0.17984259214140927,0.032436389907120056,0.1499088899454185,0.22298451740268554,0.14305586231309383,0.23393683997540735,5
