cfg_J_lanes,cfg_Ks_max,cfg_W_slots,cfg_theta_3db_deg,compare_ok,gap_K_abs,gap_K_pct,gap_mean_load_abs,gap_peak_load_abs,gap_used_sats_abs,heur_K,heur_U_max,heur_U_mean,heur_beam_r_mean,heur_ent_edge_pct,heur_ent_risk,heur_error,heur_payload_K_max,heur_payload_K_over_sum,heur_payload_T_max,heur_payload_T_over_sum,heur_payload_feasible,heur_payload_n_viol_K,heur_payload_n_viol_T,heur_time_ab_A0_s,heur_time_ab_A1_s,heur_time_ab_A2_s,heur_time_ab_A3_s,heur_time_assoc_s,heur_time_baseline_bkmeans_s,heur_time_baseline_tgbp_s,heur_time_baseline_with_qos_s,heur_time_baseline_without_qos_s,heur_time_ent_ref_s,heur_time_lb_ref_s,heur_time_sat_select_s,heur_time_split_s,heur_time_sys_balanced_max_elev_s,heur_time_sys_max_service_time_s,heur_time_sys_pure_max_elev_s,heur_time_usergen_s,heur_used_sats,heur_wall_s,milp_K,milp_active_beam_ids,milp_beam_time_load_max,milp_beam_time_load_mean,milp_best_bound,milp_diag_avg_feasible_beams_per_user,milp_diag_avg_users_per_candidate_beam,milp_diag_max_users_per_candidate_beam,milp_diag_median_feasible_beams_per_user,milp_diag_median_users_per_candidate_beam,milp_diag_min_feasible_beams_per_user,milp_diag_n_candidates,milp_diag_n_users,milp_error,milp_feasible,milp_grid_spacing_m,milp_mip_gap,milp_n_active_beams,milp_n_candidate_sats,milp_n_candidates,milp_n_grid_centers,milp_objective,milp_objective_mode,milp_optimal,milp_sat_beam_count_max,milp_sat_beam_count_mean,milp_sat_time_load_max,milp_sat_time_load_mean,milp_solve_time_s,milp_status,milp_time_limit_s,milp_used_sat_indices,milp_used_sats,milp_wall_s,n_users,region_mode,runtime_ratio_heur_over_milp,seed,study
4.0,96,6,1.0,1,5.0,16.666666666666668,-0.04426671277637215,-0.38073444515482435,0.0,35,0.6695316179616767,0.20626520381322969,14.677753329174356,33.333333333333336,0.022149493738318097,,35,0.0,7.2192821334630395,0.0,True,0,0,0.02673530000174651,0.022444300000643125,0.044290000001637964,0.04302109999844106,0.00033400000029359944,nan,nan,0.04521859999658773,0.058237999997800216,0.014139899998554029,0.007521100000303704,15.846798099999432,0.019351700000697747,0.04302109999844106,0.05469040000025416,0.03998679999858723,0.0019076000025961548,1,16.300425900000846,30,4 13 23 26 33 41 50 52 54 55 58 70 72 82 84 86 92 98 99 102 111 130 139 158 166 177 185 204 208 213,1.050266063116501,0.25053191658960183,15919.0,417.05,2.6249370594159114,17.0,429.0,2.0,250.0,15888.0,100.0,,1,10000.0,0.0,30,150,15888,8640,15919.0,weighted_sat_beam,1,30,30.0,7.5159574976880545,7.5159574976880545,5.340718499999639,OPTIMAL,300.0,0,1,164.89164700000038,100,turkey,0.09885537682815922,1,grid_sensitivity
4.0,96,6,1.0,1,6.0,18.75,-0.0375587255012117,-0.7361744863405648,0.0,38,0.47924251475117674,0.1539539603501402,13.76980731222328,0.0,0.0,,38,0.0,5.850250493305327,0.0,True,0,0,0.03013209999699029,0.02612809999845922,0.02376170000206912,0.05442890000267653,0.00033230000190087594,nan,nan,0.04460509999989881,0.044522399999550544,0.0023543000024801586,0.016640199995890725,15.888266300000396,0.021192799998971168,0.05442890000267653,0.05195810000077472,0.0341219000001729,0.0019785000004048925,1,16.307407299998886,32,9 12 15 38 44 57 60 73 80 82 84 89 93 100 102 109 115 119 126 131 135 136 144 146 148 161 174 180 186 197 209 213,1.2154170010917416,0.1915126858513519,14999.0,396.21,2.6474007750902047,16.0,429.0,2.0,199.0,14966.0,100.0,,1,10000.0,0.0,32,150,14966,7280,14999.0,weighted_sat_beam,1,32,32.0,6.12840594724326,6.12840594724326,3.869473200000357,OPTIMAL,300.0,0,1,141.47630729999946,100,turkey,0.11526599478893063,2,grid_sensitivity
4.0,96,6,1.0,1,7.0,17.94871794871795,-0.03614102084608331,-0.41814130847565695,0.0,46,0.483233502258741,0.13515880700206823,13.329082398366683,7.6923076923076925,0.0011872848481308523,,46,0.0,6.217305122095139,0.0,True,0,0,0.024558799999795156,0.02409049999914714,0.034899999998742715,0.04108249999990221,0.0003510000024107285,nan,nan,0.06381289999990258,0.05441259999861359,0.0033781000020098872,0.005050199997640448,16.1001299999989,0.035746699999435805,0.04108249999990221,0.04526590000023134,0.04415270000026794,0.0019199999987904448,1,16.584067799998593,39,1 20 33 39 45 58 67 79 87 107 111 116 129 131 142 144 146 152 157 165 166 168 170 182 184 186 190 195 200 201 204 207 208 213 218 223 236 251 255,0.901374810734398,0.17129982784815154,17629.0,406.32,2.3100801637387005,15.0,416.5,2.0,180.0,17589.0,100.0,,1,10000.0,0.0,39,150,17589,6477,17629.0,weighted_sat_beam,1,39,39.0,6.680693286077911,6.680693286077911,5.3808525999993435,OPTIMAL,300.0,0,1,130.5928316999998,100,turkey,0.12699064400483948,3,grid_sensitivity
4.0,96,6,1.0,1,6.0,18.181818181818183,-0.07914670672865823,-0.12543667636989408,-1.0,39,0.5372122238403726,0.10583216496927239,13.32866837727122,0.0,0.0,,39,0.0,4.127454433801623,0.0,True,0,0,0.02002859999993234,0.020834900002228096,0.024460100001306273,0.04077060000054189,0.000343700001394609,nan,nan,0.04435310000189929,0.05022260000259848,0.008782699995208532,0.01044710000132909,15.980365999999776,0.022593700003199046,0.04077060000054189,0.029241399999591522,0.0409734999993816,0.0021124000013514888,1,16.377841599998646,33,3 15 20 22 36 90 150 172 183 187 224 235 273 292 295 321 324 341 358 362 366 385 402 406 415 461 465 476 481 484 491 493 495,0.6626489002102667,0.18497887169793062,36833.0,392.97,2.1358225990542965,12.0,401.5,1.0,226.0,18399.0,100.0,,1,10000.0,0.0,33,150,18399,9006,36833.0,weighted_sat_beam,1,21,16.5,3.649623842442487,3.0521513830158558,5.0212406999999075,OPTIMAL,300.0,0 1,2,169.57152479999786,100,turkey,0.09658367829926391,4,grid_sensitivity
4.0,96,6,1.0,1,10.0,37.03703703703704,-0.07954440251059663,-0.2722895744765783,0.0,37,0.5290870254073868,0.16639090002877346,14.458502785320594,10.0,0.000993407341236521,,37,0.0,6.156463301064618,0.0,True,0,0,0.019390299999940908,0.019956899999669986,0.02652930000112974,0.03682499999922584,0.0005209000009926967,nan,nan,0.055034999997587875,0.04853010000078939,0.006710699999530334,0.012717600002360996,16.07895560000179,0.030058000000281027,0.03682499999922584,0.038959800000156974,0.044742199999745935,0.0021083999999973457,1,16.523399699999572,27,4 7 20 23 33 43 54 71 73 76 79 96 101 115 118 133 135 138 152 161 172 179 184 205 209 212 214,0.8013765998839651,0.2459353025393701,13548.0,376.91,2.787795857988166,26.0,387.0,2.0,201.0,13520.0,100.0,,1,10000.0,0.0,27,150,13520,9310,13548.0,weighted_sat_beam,1,27,27.0,6.640253168562993,6.640253168562993,3.9472557000008237,OPTIMAL,300.0,0,1,173.73935150000034,100,turkey,0.09510453191716639,5,grid_sensitivity
4.0,96,6,1.0,1,7.0,17.5,-0.06373385438736368,-0.46388479950341455,0.0,47,0.9899846368710887,0.2739115079049588,14.167223802963944,9.090909090909092,0.009363454026767562,,47,0.0,12.873840871533062,0.0,True,0,0,0.0268316000001505,0.02682759999879636,0.042047200000524754,0.06769599999825004,0.0003934999986086041,nan,nan,0.07401449999815668,0.06596680000075139,0.01314510000156588,0.013700600000447594,16.265462799998204,0.02921539999806555,0.06769599999825004,0.06689010000263806,0.05691289999958826,0.0026144000003114343,1,16.87439599999925,40,6 8 18 24 29 31 51 55 58 63 67 77 82 87 91 98 99 104 110 112 115 116 122 127 134 135 140 157 171 199 202 208 212 238 259 264 267 272 293 308,1.4538694363745033,0.33764536229232245,20784.0,421.36,4.062671744684954,33.0,432.0,2.0,251.0,20743.0,200.0,,1,10000.0,0.0,40,150,20743,8760,20784.0,weighted_sat_beam,1,40,40.0,13.505814491692902,13.505814491692902,14.923066300001665,OPTIMAL,300.0,0,1,209.54928819999986,200,turkey,0.08052709768163871,1,grid_sensitivity
4.0,96,6,1.0,1,10.0,21.27659574468085,-0.06961540962606427,-0.5999409021801312,0.0,57,0.6106383250232064,0.22097277956671524,13.34112639075263,0.0,0.0,,57,0.0,12.59544843530277,0.0,True,0,0,0.03130370000144467,0.029666900001757313,0.047567999998136656,0.06814020000092569,0.0003896999987773597,nan,nan,0.07811249999940628,0.07918549999885727,0.011580700000195066,0.018033699998341035,16.316485399998783,0.0314555000004475,0.06814020000092569,0.062336999999388354,0.0678686999999627,0.002640800001245225,1,16.975940500000434,47,11 22 26 33 39 47 55 61 71 85 100 102 104 107 116 121 123 129 133 138 142 145 148 152 160 164 171 177 179 180 189 198 200 201 204 212 214 216 219 221 231 237 248 259 261 271 284,1.2105792272033375,0.2905881891927795,20261.0,406.445,4.021619749666057,30.0,431.5,2.0,225.0,20213.0,200.0,,1,10000.0,0.0,47,150,20213,7524,20261.0,weighted_sat_beam,1,47,47.0,13.657644892060636,13.657644892060636,16.939508499999647,OPTIMAL,300.0,0,1,185.5739758000018,200,turkey,0.09147802339642641,2,grid_sensitivity
4.0,96,6,1.0,1,14.0,29.166666666666668,-0.06965477099291928,-0.18911165587250078,0.0,62,0.6629188300844064,0.17434502054891488,13.502416542169035,6.25,0.005606550333018204,,62,0.0,10.809391274032722,0.0,True,0,0,0.02945499999987078,0.033750300000974676,0.045538499998656334,0.0613456999999471,0.0004315000005590264,nan,nan,0.07910370000172406,0.07729060000201571,0.012005000000499422,0.015689100000599865,16.21598670000094,0.03525509999963106,0.0613456999999471,0.05802599999879021,0.046750699999392964,0.00293489999967278,1,16.821860500000184,48,14 17 24 36 47 60 70 72 74 86 104 112 116 133 137 144 164 173 176 177 179 182 185 192 195 197 210 213 222 224 232 234 236 240 245 250 253 257 259 263 265 270 277 285 290 309 311 324,0.8520304859569072,0.24399979154183415,21812.0,407.96,3.7491154712126087,28.0,414.0,2.0,255.0,21763.0,200.0,,1,10000.0,0.0,48,150,21763,6837,21812.0,weighted_sat_beam,1,48,48.0,11.711989994008034,11.711989994008034,17.054887999998755,OPTIMAL,300.0,0,1,186.8613695999993,200,turkey,0.09002321098260989,3,grid_sensitivity
4.0,96,6,1.0,1,13.0,25.0,-0.13132957069694418,-0.6849972555203068,-1.0,65,0.4356176139465137,0.1365973925202168,13.556433699867227,0.0,0.0,,65,0.0,8.878830513814092,0.0,True,0,0,0.02746859999751905,0.025875600000290433,0.03456449999794131,0.04960849999770289,0.00041169999894918874,nan,nan,0.07027799999923445,0.07396329999755835,0.012017199998808792,0.010115299999597482,15.77018440000029,0.026776800001243828,0.04960849999770289,0.05102389999956358,0.049634700000751764,0.0032369000000471715,1,16.298043800001324,52,1 18 20 23 36 49 55 62 67 68 88 94 174 217 249 275 279 283 322 325 332 354 363 369 375 414 428 447 458 463 481 503 507 527 535 556 561 566 569 579 601 609 616 707 725 738 741 746 749 754 755 760,1.1206148694668205,0.267926963217161,57022.0,393.335,2.761796096053925,27.0,405.0,2.0,228.0,28484.0,200.0,,1,10000.0,0.0,52,150,28484,9396,57022.0,weighted_sat_beam,1,26,26.0,8.805135715962413,6.966101043646187,20.398163099998783,OPTIMAL,300.0,0 1,2,249.21402470000248,200,turkey,0.06539777935700246,4,grid_sensitivity
4.0,96,6,1.0,1,15.0,36.58536585365854,-0.098456272084605,-1.0083116351188948,0.0,56,0.7929202763127147,0.21857285563956458,14.333417974566625,14.285714285714286,0.015568985118421043,,56,0.0,12.240079915815617,0.0,True,0,0,0.029591300000902265,0.030014399999345187,0.05239129999972647,0.08034639999823412,0.0006228999991435558,nan,nan,0.07465600000068662,0.07220789999701083,0.02950280000004568,0.00954700000147568,16.88172040000063,0.038865399998030625,0.08034639999823412,0.0801337999982934,0.0791800000006333,0.0027216999988013413,1,17.5944539000011,41,2 12 19 28 31 41 51 58 63 66 80 84 87 101 102 106 113 120 135 137 139 149 152 165 170 173 180 184 191 193 198 205 221 235 238 241 254 257 267 275 282,1.8012319114316093,0.3170291277241696,18335.0,381.97,4.176132947028918,38.0,391.5,2.0,203.0,18293.0,200.0,,1,10000.0,0.0,41,150,18293,9730,18335.0,weighted_sat_beam,1,41,41.0,12.998194236690951,12.998194236690951,25.110553999998956,OPTIMAL,300.0,0,1,259.41599380000116,200,turkey,0.06782331976634287,5,grid_sensitivity
