metric,n_users,milp_grid_spacing_m,series,mean,median,std,p10,p90,min,max,n
optimal_solve_rate,100,10000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,100,15000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,100,20000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
K,100,10000.0,MILP,32.2,32.0,3.9698866482558417,28.2,36.6,27.0,39.0,5
K,100,15000.0,MILP,36.0,34.0,5.215361924162119,32.0,42.0,32.0,46.0,5
K,100,20000.0,MILP,37.4,37.0,2.3323807579381204,35.0,40.2,35.0,41.0,5
runtime_s,100,10000.0,MILP,156.05433245999956,164.89164700000038,16.937410392369152,134.94622193999967,172.07222081999936,130.5928316999998,173.73935150000034,5
runtime_s,100,15000.0,MILP,83.36314115999922,87.18069399999877,8.585573680081174,72.72262519999931,91.66046413999939,70.74288220000017,91.90254089999871,5
runtime_s,100,20000.0,MILP,55.82142045999935,58.70631279999725,4.139429939884857,50.60303419999764,59.36958706000223,49.58235919999788,59.479168100002425,5
mip_gap,100,10000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,100,15000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,100,20000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
n_grid_centers,100,10000.0,MILP,8142.6,8640.0,1083.8811004902705,6798.2,9188.4,6477.0,9310.0,5
n_grid_centers,100,15000.0,MILP,3658.8,3840.0,449.3023035774466,3107.4,4105.8,2975.0,4183.0,5
n_grid_centers,100,20000.0,MILP,2083.4,2232.0,264.1488974044753,1752.4,2323.4,1664.0,2345.0,5
n_candidates,100,10000.0,MILP,16072.4,15888.0,1759.887110015867,14098.4,18075.0,13520.0,18399.0,5
n_candidates,100,15000.0,MILP,7348.0,7289.0,692.4553415203034,6559.4,8115.0,6325.0,8145.0,5
n_candidates,100,20000.0,MILP,4128.2,4028.0,389.9207098885618,3714.4,4590.6,3606.0,4693.0,5
optimal_solve_rate,200,10000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,200,15000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
optimal_solve_rate,200,20000.0,MILP optimal,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
K,200,10000.0,MILP,45.6,47.0,4.498888751680797,40.4,50.4,40.0,52.0,5
K,200,15000.0,MILP,52.4,52.0,6.343500610861482,46.0,59.8,46.0,63.0,5
K,200,20000.0,MILP,49.0,49.0,5.727128425310541,43.2,54.8,40.0,58.0,5
runtime_s,200,10000.0,MILP,218.12293042000093,209.54928819999986,30.925718098393997,186.0889333200008,255.3352061600017,185.5739758000018,259.41599380000116,5
runtime_s,200,15000.0,MILP,104.74701404000007,108.96898169999986,10.139788709704069,92.37251537999983,114.9076054199999,91.13836029999948,115.73006669999813,5
runtime_s,200,20000.0,MILP,65.4268570799999,68.89977290000024,5.230544016287442,58.871180040000766,69.74993029999897,56.5206560000006,70.1158706999995,5
mip_gap,200,10000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,200,15000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,200,20000.0,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
n_grid_centers,200,10000.0,MILP,8449.4,8760.0,1103.508876266974,7111.8,9596.4,6837.0,9730.0,5
n_grid_centers,200,15000.0,MILP,3780.6,3880.0,490.6842569310738,3195.2,4307.4,3096.0,4371.0,5
