PHASE B TABLES (datapoints used in plots)
CSV: sweep_phaseB.csv

Aggregation note: NaN values are excluded from means/min/max and from n.

This version keeps only the thesis-useful tables and removes low-value/redundant plot summaries.

==========================================================================================
TABLE: K_vs_nusers

n_users  | series               | mean         | std          | min        | max        | n  
---------------------------------------------------------------------------------------------
50       | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
50       | bk rep               | 32.4         | 2.870540018881465 | 27.0       | 35.0       | 5  
50       | main+qos+lb          | 32.4         | 2.8000000000000003 | 27.0       | 35.0       | 5  
50       | tgbp rep             | 33.0         | 3.521363372331802 | 27.0       | 36.0       | 5  
50       | wk demand rep        | 35.2         | 3.867815921162743 | 28.0       | 39.0       | 5  
50       | wk qos rep           | 35.2         | 2.7856776554368237 | 30.0       | 38.0       | 5  
100      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
100      | bk rep               | 56.8         | 4.534313619501853 | 48.0       | 61.0       | 5  
100      | main+qos+lb          | 55.6         | 3.7735924528226414 | 49.0       | 59.0       | 5  
100      | tgbp rep             | 59.0         | 3.8987177379235853 | 55.0       | 66.0       | 5  
100      | wk demand rep        | 60.2         | 3.7094473981982814 | 54.0       | 64.0       | 5  
100      | wk qos rep           | 60.8         | 4.955804677345547 | 52.0       | 66.0       | 5  
150      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
150      | bk rep               | 73.8         | 2.3151673805580453 | 71.0       | 78.0       | 5  
150      | main+qos+lb          | 76.0         | 5.291502622129181 | 67.0       | 83.0       | 5  
150      | tgbp rep             | 83.2         | 6.910861017268399 | 73.0       | 91.0       | 5  
150      | wk demand rep        | 80.8         | 5.192301994298868 | 72.0       | 88.0       | 5  
150      | wk qos rep           | 82.2         | 5.035871324805669 | 73.0       | 87.0       | 5  
200      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
200      | bk rep               | 96.6         | 3.4409301068170506 | 92.0       | 101.0      | 5  
200      | main+qos+lb          | 95.4         | 4.2708313008125245 | 89.0       | 101.0      | 5  
200      | tgbp rep             | 103.6        | 5.535341001239218 | 94.0       | 109.0      | 5  
200      | wk demand rep        | 102.6        | 4.454211490264018 | 94.0       | 107.0      | 5  
200      | wk qos rep           | 103.2        | 3.867815921162743 | 97.0       | 108.0      | 5  
300      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
300      | bk rep               | 127.0        | 2.9664793948382653 | 124.0      | 131.0      | 5  
300      | main+qos+lb          | 128.8        | 4.534313619501853 | 121.0      | 135.0      | 5  
300      | tgbp rep             | 139.8        | 5.67097875150313 | 132.0      | 148.0      | 5  
300      | wk demand rep        | 140.2        | 3.5440090293338695 | 137.0      | 147.0      | 5  
300      | wk qos rep           | 141.2        | 1.9390719429665317 | 139.0      | 144.0      | 5  
400      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
400      | bk rep               | 160.8        | 7.573638491504595 | 154.0      | 175.0      | 5  
400      | main+qos+lb          | 164.8        | 8.681013765684282 | 156.0      | 181.0      | 5  
400      | tgbp rep             | 174.0        | 5.692099788303083 | 168.0      | 182.0      | 5  
400      | wk demand rep        | 178.2        | 8.863407922464134 | 168.0      | 194.0      | 5  
400      | wk qos rep           | 180.0        | 9.879271228182775 | 170.0      | 197.0      | 5  
500      | K theoretical min    | 1.0          | 0.0          | 1.0        | 1.0        | 5  
500      | bk rep               | 183.4        | 9.15641851380768 | 172.0      | 200.0      | 5  
500      | main+qos+lb          | 186.2        | 9.173875952943773 | 176.0      | 200.0      | 5  
500      | tgbp rep             | 200.2        | 8.657944328765346 | 191.0      | 215.0      | 5  
500      | wk demand rep        | 199.4        | 10.26839812239475 | 188.0      | 217.0      | 5  
500      | wk qos rep           | 201.4        | 12.208193969625482 | 189.0      | 222.0      | 5  
600      | K theoretical min    | 1.4          | 0.4898979485566356 | 1.0        | 2.0        | 5  
600      | bk rep               | 211.6        | 6.529931086925803 | 205.0      | 223.0      | 5  
600      | main+qos+lb          | 214.4        | 6.151422599691879 | 206.0      | 224.0      | 5  
600      | tgbp rep             | 227.8        | 9.907572861200668 | 215.0      | 241.0      | 5  
600      | wk demand rep        | 232.2        | 9.19565114605812 | 221.0      | 249.0      | 5  
600      | wk qos rep           | 232.0        | 7.238784428341543 | 222.0      | 243.0      | 5  
700      | K theoretical min    | 2.0          | 0.0          | 2.0        | 2.0        | 5  
700      | bk rep               | 240.4        | 9.134549797335389 | 229.0      | 253.0      | 5  
700      | main+qos+lb          | 239.4        | 7.9397732965116825 | 228.0      | 252.0      | 5  
700      | tgbp rep             | 253.0        | 16.211107303327555 | 237.0      | 283.0      | 5  
700      | wk demand rep        | 267.6        | 22.703303724348135 | 244.0      | 302.0      | 5  
700      | wk qos rep           | 269.6        | 22.17746604100658 | 246.0      | 306.0      | 5  
800      | K theoretical min    | 2.0          | 0.0          | 2.0        | 2.0        | 5  
800      | bk rep               | 266.6        | 13.215142829345432 | 251.0      | 288.0      | 5  
800      | main+qos+lb          | 263.2        | 14.524462124292244 | 253.0      | 292.0      | 5  
800      | tgbp rep             | 292.2        | 18.42172630347113 | 273.0      | 316.0      | 5  
800      | wk demand rep        | 290.2        | 18.626862323000083 | 271.0      | 316.0      | 5  
800      | wk qos rep           | 297.0        | 22.432119828495924 | 274.0      | 329.0      | 5  
900      | K theoretical min    | 2.0          | 0.0          | 2.0        | 2.0        | 5  
900      | bk rep               | 286.8        | 21.29225211197726 | 262.0      | 321.0      | 5  
900      | main+qos+lb          | 292.8        | 22.480213522117623 | 269.0      | 322.0      | 5  
900      | tgbp rep             | 305.8        | 20.350921355064003 | 277.0      | 331.0      | 5  
900      | wk demand rep        | 312.8        | 23.523605165875402 | 286.0      | 351.0      | 5  
900      | wk qos rep           | 318.6        | 23.27745690577044 | 290.0      | 355.0      | 5  
1000     | K theoretical min    | 2.0          | 0.0          | 2.0        | 2.0        | 5  
1000     | bk rep               | 301.2        | 17.33666634621547 | 279.0      | 326.0      | 5  
1000     | main+qos+lb          | 311.4        | 17.269626515938324 | 294.0      | 336.0      | 5  
1000     | tgbp rep             | 332.8        | 20.826905675111703 | 305.0      | 363.0      | 5  
1000     | wk demand rep        | 334.4        | 21.058015101143795 | 312.0      | 368.0      | 5  
1000     | wk qos rep           | 342.6        | 22.676860452893386 | 319.0      | 372.0      | 5  
1250     | K theoretical min    | 2.8          | 0.39999999999999997 | 2.0        | 3.0        | 5  
1250     | bk rep               | 366.0        | 20.620378270051205 | 345.0      | 397.0      | 5  
1250     | main+qos+lb          | 364.6        | 21.90525051214891 | 342.0      | 400.0      | 5  
1250     | tgbp rep             | 383.8        | 27.92418306772823 | 357.0      | 423.0      | 5  
1250     | wk demand rep        | 394.6        | 23.98833049630591 | 371.0      | 433.0      | 5  
1250     | wk qos rep           | 404.8        | 24.798387044322055 | 378.0      | 440.0      | 5  
1500     | K theoretical min    | 3.0          | 0.0          | 3.0        | 3.0        | 5  
1500     | bk rep               | 414.0        | 11.949895397031725 | 400.0      | 436.0      | 5  
1500     | main+qos+lb          | 414.6        | 28.032837887021 | 391.0      | 458.0      | 5  
1500     | tgbp rep             | 430.2        | 24.69331893448104 | 406.0      | 468.0      | 5  
1500     | wk demand rep        | 451.6        | 34.63293230438335 | 419.0      | 502.0      | 5  
1500     | wk qos rep           | 458.2        | 36.273406236525396 | 423.0      | 506.0      | 5  
1750     | K theoretical min    | 3.4          | 0.4898979485566356 | 3.0        | 4.0        | 5  
1750     | bk rep               | 480.6        | 23.052982453470094 | 437.0      | 497.0      | 5  
1750     | main+qos+lb          | 470.4        | 31.058654188486663 | 431.0      | 513.0      | 5  
1750     | tgbp rep             | 499.4        | 31.58227350904301 | 444.0      | 528.0      | 5  
1750     | wk demand rep        | 520.0        | 32.341923257592455 | 466.0      | 549.0      | 5  
1750     | wk qos rep           | 522.2        | 31.61265569356678 | 469.0      | 556.0      | 5  
2000     | K theoretical min    | 4.0          | 0.0          | 4.0        | 4.0        | 5  
2000     | bk rep               | 520.8        | 22.130521909796883 | 483.0      | 551.0      | 5  
2000     | main+qos+lb          | 519.8        | 22.754340245324627 | 477.0      | 545.0      | 5  
2000     | tgbp rep             | 537.6        | 28.61887489053335 | 487.0      | 575.0      | 5  
2000     | wk demand rep        | 563.6        | 13.46996659238619 | 545.0      | 585.0      | 5  
2000     | wk qos rep           | 571.6        | 16.918628786045282 | 549.0      | 599.0      | 5  
2250     | K theoretical min    | 4.0          | 0.0          | 4.0        | 4.0        | 5  
2250     | bk rep               | 581.0        | 10.677078252031311 | 569.0      | 598.0      | 5  
2250     | main+qos+lb          | 576.8        | 19.1666376811375 | 545.0      | 605.0      | 5  
2250     | tgbp rep             | 590.6        | 21.294130646729865 | 565.0      | 627.0      | 5  
2250     | wk demand rep        | 619.6        | 18.117394956229223 | 595.0      | 651.0      | 5  
2250     | wk qos rep           | 631.2        | 20.932271735289508 | 602.0      | 666.0      | 5  
2500     | K theoretical min    | 4.0          | 0.0          | 4.0        | 4.0        | 5  
2500     | bk rep               | 619.6        | 33.302252176091635 | 588.0      | 676.0      | 5  
2500     | main+qos+lb          | 609.2        | 29.14378149794566 | 572.0      | 646.0      | 5  
2500     | tgbp rep             | 638.8        | 32.313464685793136 | 592.0      | 678.0      | 5  
2500     | wk demand rep        | 664.0        | 31.22178726466504 | 622.0      | 703.0      | 5  
2500     | wk qos rep           | 671.8        | 27.161737794183935 | 638.0      | 704.0      | 5  
2750     | K theoretical min    | 5.0          | 0.0          | 5.0        | 5.0        | 5  
2750     | bk rep               | 682.2        | 24.652788888886384 | 654.0      | 713.0      | 5  
2750     | main+qos+lb          | 656.4        | 23.44013651837378 | 619.0      | 683.0      | 5  
2750     | tgbp rep             | 674.2        | 19.923855048659632 | 640.0      | 702.0      | 5  
2750     | wk demand rep        | 730.2        | 48.20124479720415 | 676.0      | 819.0      | 5  
2750     | wk qos rep           | 742.4        | 44.960427044235246 | 689.0      | 823.0      | 5  
3000     | K theoretical min    | 5.0          | 0.0          | 5.0        | 5.0        | 5  
3000     | bk rep               | 729.6        | 38.63987577619783 | 692.0      | 795.0      | 5  
3000     | main+qos+lb          | 687.0        | 21.004761364985796 | 659.0      | 710.0      | 5  
3000     | tgbp rep             | 732.4        | 47.38185306633754 | 678.0      | 815.0      | 5  
3000     | wk demand rep        | 767.6        | 44.585199337896874 | 722.0      | 848.0      | 5  
3000     | wk qos rep           | 779.8        | 49.31287864239929 | 731.0      | 867.0      | 5  
3500     | K theoretical min    | 6.0          | 0.0          | 6.0        | 6.0        | 5  
3500     | bk rep               | 826.6        | 36.75649602451246 | 786.0      | 872.0      | 5  
3500     | main+qos+lb          | 778.0        | 41.42945811858996 | 725.0      | 834.0      | 5  
3500     | tgbp rep             | 804.0        | 47.60252094164762 | 740.0      | 862.0      | 5  
3500     | wk demand rep        | 861.0        | 42.862571084805445 | 797.0      | 908.0      | 5  
3500     | wk qos rep           | 877.4        | 43.600917421540565 | 817.0      | 929.0      | 5  
4000     | K theoretical min    | 6.6          | 0.4898979485566356 | 6.0        | 7.0        | 5  
4000     | bk rep               | 888.6        | 48.02332766479225 | 836.0      | 952.0      | 5  
4000     | main+qos+lb          | 829.0        | 38.848423391432505 | 781.0      | 884.0      | 5  
4000     | tgbp rep             | 878.0        | 51.93457422565434 | 817.0      | 960.0      | 5  
4000     | wk demand rep        | 906.6        | 46.202164451462664 | 845.0      | 973.0      | 5  
4000     | wk qos rep           | 925.4        | 47.255052639902964 | 856.0      | 998.0      | 5  
4500     | K theoretical min    | 7.0          | 0.0          | 7.0        | 7.0        | 5  
4500     | bk rep               | 1006.4       | 31.92867050160404 | 954.0      | 1038.0     | 5  
4500     | main+qos+lb          | 913.6        | 51.94073545878995 | 847.0      | 982.0      | 5  
4500     | tgbp rep             | 960.4        | 52.583647648294615 | 897.0      | 1026.0     | 5  
4500     | wk demand rep        | 1017.4       | 45.548216210956056 | 947.0      | 1073.0     | 5  
4500     | wk qos rep           | 1032.8       | 43.17591921430278 | 964.0      | 1089.0     | 5  
5000     | K theoretical min    | 8.0          | 0.0          | 8.0        | 8.0        | 5  
5000     | bk rep               | 1079.8       | 38.24343080844081 | 1050.0     | 1155.0     | 5  
5000     | main+qos+lb          | 973.6        | 44.45492098744525 | 923.0      | 1034.0     | 5  
5000     | tgbp rep             | 1016.8       | 65.2729653072388 | 929.0      | 1110.0     | 5  
5000     | wk demand rep        | 1089.2       | 51.136679594983484 | 1022.0     | 1178.0     | 5  
5000     | wk qos rep           | 1109.4       | 52.21340823964665 | 1054.0     | 1204.0     | 5  
5500     | K theoretical min    | 8.8          | 0.4          | 8.0        | 9.0        | 5  
5500     | bk rep               | 1119.8       | 48.53617207815219 | 1089.0     | 1216.0     | 5  
5500     | main+qos+lb          | 1052.8       | 41.325052934025386 | 988.0      | 1091.0     | 5  
5500     | tgbp rep             | 1101.2       | 38.57667689161419 | 1037.0     | 1157.0     | 5  
5500     | wk demand rep        | 1153.6       | 35.51112501738011 | 1105.0     | 1196.0     | 5  
5500     | wk qos rep           | 1179.4       | 41.58172675587198 | 1131.0     | 1238.0     | 5  
6000     | K theoretical min    | 9.2          | 0.39999999999999997 | 9.0        | 10.0       | 5  
6000     | bk rep               | 1203.0       | 48.49329850608226 | 1144.0     | 1271.0     | 5  
6000     | main+qos+lb          | 1100.4       | 52.72798118646304 | 1030.0     | 1187.0     | 5  
6000     | tgbp rep             | 1142.6       | 40.14772720839873 | 1091.0     | 1198.0     | 5  
6000     | wk demand rep        | 1232.8       | 49.01183530536273 | 1160.0     | 1306.0     | 5  
6000     | wk qos rep           | 1252.2       | 53.89768084064471 | 1175.0     | 1335.0     | 5  
6500     | K theoretical min    | 10.2         | 0.39999999999999997 | 10.0       | 11.0       | 5  
6500     | bk rep               | 1250.4       | 47.88987366865776 | 1203.0     | 1333.0     | 5  
6500     | main+qos+lb          | 1166.6       | 50.110278386774105 | 1096.0     | 1247.0     | 5  
6500     | tgbp rep             | 1228.6       | 47.21271015309331 | 1166.0     | 1310.0     | 5  
6500     | wk demand rep        | 1294.0       | 50.805511512039715 | 1238.0     | 1367.0     | 5  
6500     | wk qos rep           | 1335.8       | 46.43016261009647 | 1256.0     | 1401.0     | 5  
7000     | K theoretical min    | 11.0         | 0.6324555320336759 | 10.0       | 12.0       | 5  
7000     | bk rep               | 1349.0       | 78.88979655189891 | 1255.0     | 1463.0     | 5  
7000     | main+qos+lb          | 1231.4       | 36.14194239384485 | 1172.0     | 1279.0     | 5  
7000     | tgbp rep             | 1279.8       | 70.13814939104111 | 1168.0     | 1377.0     | 5  
7000     | wk demand rep        | 1389.4       | 34.05055065634035 | 1346.0     | 1424.0     | 5  
7000     | wk qos rep           | 1422.6       | 34.032925234249255 | 1376.0     | 1461.0     | 5  
7500     | K theoretical min    | 11.4         | 0.4898979485566356 | 11.0       | 12.0       | 5  
7500     | bk rep               | 1414.6       | 37.68607169764447 | 1361.0     | 1461.0     | 5  
7500     | main+qos+lb          | 1294.6       | 37.07613787869497 | 1254.0     | 1354.0     | 5  
7500     | tgbp rep             | 1360.8       | 42.75230987911647 | 1305.0     | 1416.0     | 5  
7500     | wk demand rep        | 1452.0       | 35.42880184256871 | 1409.0     | 1500.0     | 5  
7500     | wk qos rep           | 1490.6       | 30.630703550522636 | 1450.0     | 1523.0     | 5  

==========================================================================================
TABLE: ablation_feasible_rate_vs_nusers

n_users  | series               | mean         | std          | min        | max        | n  
---------------------------------------------------------------------------------------------
50       | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
50       | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
50       | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
50       | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
100      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
100      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
100      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
100      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
150      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
150      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
150      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
150      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
200      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
200      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
200      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
200      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
300      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
300      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
300      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
300      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
400      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
400      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
400      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
400      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
500      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
500      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
500      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
500      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
600      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
600      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
600      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
600      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
700      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
700      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
700      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
700      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
