ok,tag,x_name,x_value,seed,n_users,theta_3db_deg,Ks_max,beam.theta_3db_deg,payload.Ks_max,payload_feasible,K,U_max,ent_edge_pct,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",1,1000,0.9,192,0.9,192,1,376.0,0.22170046575228425,9.70873786407767,3.0,0.0,0.0,0.0,0.0,18.101441500002693
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",2,1000,0.9,192,0.9,192,1,317.0,0.29111687872165304,9.174311926605505,2.0,0.0,0.0,0.0,0.0,15.885291899998265
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",1,1500,0.9,192,0.9,192,1,502.0,0.22804899238642204,8.088235294117647,3.0,0.0,0.0,0.0,0.0,17.056519100002333
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",2,1500,0.9,192,0.9,192,1,455.0,0.44026568323517573,10.19108280254777,3.0,0.0,0.0,0.0,0.0,16.600421899998764
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",1,2000,0.9,192,0.9,192,1,634.0,0.28177184216070816,9.565217391304348,5.0,0.0,0.0,0.0,0.0,49.13068149999526
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=192",2,2000,0.9,192,0.9,192,1,547.0,0.7500208900034118,6.842105263157895,4.0,0.0,0.0,0.0,0.0,44.33976299999631
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=256",1,1000,0.9,256,0.9,256,1,369.0,0.24709547483248054,10.679611650485437,2.0,0.0,0.0,0.0,0.0,15.647330300002068
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=256",2,1000,0.9,256,0.9,256,1,317.0,0.29111687872165304,9.174311926605505,2.0,0.0,0.0,0.0,0.0,15.84020949999831
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=256",1,1500,0.9,256,0.9,256,1,502.0,0.22804899238642204,8.088235294117647,3.0,0.0,0.0,0.0,0.0,16.80103909999889
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=0.9,Ks=256",2,1500,0.9,256,0.9,256,1,423.0,0.33628839756741874,5.732484076433121,2.0,0.0,0.0,0.0,0.0,15.744666699996742
