tag,n_users,theta_3db_deg,Ks_max,payload_feasible_mean,payload_feasible_std,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_std,K_min,K_max,K_n,U_max_mean,U_max_std,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_std,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,ms_n_active_mean,ms_n_active_std,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_std,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_std,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_std,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_std,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_std,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
interaction:theta_x_Ksmax,100,0.9,128,1.0,0.0,1.0,1.0,5,58.2,4.261455150532504,50.0,62.0,5,0.09335573929614702,0.02157943264347628,0.06828027683496428,0.13246209464307598,5,14.951159951159951,6.366570133006467,7.6923076923076925,22.22222222222222,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,18.656845840020104,0.993364894008637,17.579855700256303,20.24836860015057,5
interaction:theta_x_Ksmax,100,0.9,256,1.0,0.0,1.0,1.0,5,58.2,4.261455150532504,50.0,62.0,5,0.09335573929614702,0.02157943264347628,0.06828027683496428,0.13246209464307598,5,14.951159951159951,6.366570133006467,7.6923076923076925,22.22222222222222,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.98067859984003,0.07850230741929753,14.836297599598765,15.05208420008421,5
interaction:theta_x_Ksmax,100,0.9,312,1.0,0.0,1.0,1.0,5,58.2,4.261455150532504,50.0,62.0,5,0.09335573929614702,0.02157943264347628,0.06828027683496428,0.13246209464307598,5,14.951159951159951,6.366570133006467,7.6923076923076925,22.22222222222222,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.917713219951839,0.11114898780157134,14.7401159000583,15.021754399873316,5
interaction:theta_x_Ksmax,100,1.0,128,1.0,0.0,1.0,1.0,5,55.6,3.7735924528226414,49.0,59.0,5,0.09164429469908868,0.019835605241076054,0.07466771707721992,0.1287959018293213,5,16.48962148962149,8.777725041372438,8.333333333333334,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.877666560048237,0.17064397864927844,14.676543599925935,15.126951300073415,5
interaction:theta_x_Ksmax,100,1.0,256,1.0,0.0,1.0,1.0,5,55.6,3.7735924528226414,49.0,59.0,5,0.09164429469908868,0.019835605241076054,0.07466771707721992,0.1287959018293213,5,16.48962148962149,8.777725041372438,8.333333333333334,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.980760999955237,0.14828284338741343,14.79756089975126,15.186833799816668,5
interaction:theta_x_Ksmax,100,1.0,312,1.0,0.0,1.0,1.0,5,55.6,3.7735924528226414,49.0,59.0,5,0.09164429469908868,0.019835605241076054,0.07466771707721992,0.1287959018293213,5,16.48962148962149,8.777725041372438,8.333333333333334,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.949735959991813,0.15285988837881054,14.788392100017518,15.218356600031257,5
interaction:theta_x_Ksmax,100,1.1,128,1.0,0.0,1.0,1.0,5,53.0,3.5777087639996634,47.0,58.0,5,0.09224583702676588,0.016777549518148405,0.07371389061396953,0.122521236530236,5,14.951159951159951,9.482401136203462,7.6923076923076925,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.970349740004167,0.18484009173465396,14.673724599881098,15.250803200295195,5
interaction:theta_x_Ksmax,100,1.1,256,1.0,0.0,1.0,1.0,5,53.0,3.5777087639996634,47.0,58.0,5,0.09224583702676588,0.016777549518148405,0.07371389061396953,0.122521236530236,5,14.951159951159951,9.482401136203462,7.6923076923076925,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.896966440044343,0.12339185338612559,14.758907899959013,15.116305000148714,5
interaction:theta_x_Ksmax,100,1.1,312,1.0,0.0,1.0,1.0,5,53.0,3.5777087639996634,47.0,58.0,5,0.09224583702676588,0.016777549518148405,0.07371389061396953,0.122521236530236,5,14.951159951159951,9.482401136203462,7.6923076923076925,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.013857100019232,0.24001684227938183,14.59154299995862,15.261980600189418,5
interaction:theta_x_Ksmax,200,0.9,128,1.0,0.0,1.0,1.0,5,100.4,3.7202150475476548,94.0,105.0,5,0.16014888465879357,0.057172937988049746,0.12002920059954764,0.2719686034996311,5,8.901515151515152,5.948296512864728,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,18.509855919796973,1.1727602915019189,17.392599399667233,20.111301999771968,5
interaction:theta_x_Ksmax,200,0.9,256,1.0,0.0,1.0,1.0,5,100.4,3.7202150475476548,94.0,105.0,5,0.16014888465879357,0.057172937988049746,0.12002920059954764,0.2719686034996311,5,8.901515151515152,5.948296512864728,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.941486559947952,0.12509405716380453,14.735162900062278,15.111483599990606,5
interaction:theta_x_Ksmax,200,0.9,312,1.0,0.0,1.0,1.0,5,100.4,3.7202150475476548,94.0,105.0,5,0.16014888465879357,0.057172937988049746,0.12002920059954764,0.2719686034996311,5,8.901515151515152,5.948296512864728,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.985596520034596,0.18151167953829023,14.719151300145313,15.17509870021604,5
interaction:theta_x_Ksmax,200,1.0,128,1.0,0.0,1.0,1.0,5,95.4,4.2708313008125245,89.0,101.0,5,0.16682591193042212,0.05482429423015508,0.11771690913466057,0.2686461780323341,5,10.643939393939394,7.29636310777849,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.86505358000286,0.06720776800492859,14.75615209992975,14.965388299897313,5
interaction:theta_x_Ksmax,200,1.0,256,1.0,0.0,1.0,1.0,5,95.4,4.2708313008125245,89.0,101.0,5,0.16682591193042212,0.05482429423015508,0.11771690913466057,0.2686461780323341,5,10.643939393939394,7.29636310777849,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.989918280020357,0.22483326818650776,14.719931100262329,15.35220759967342,5
interaction:theta_x_Ksmax,200,1.0,312,1.0,0.0,1.0,1.0,5,95.4,4.2708313008125245,89.0,101.0,5,0.16682591193042212,0.05482429423015508,0.11771690913466057,0.2686461780323341,5,10.643939393939394,7.29636310777849,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.732169080059975,0.05139706828112507,14.686352100223303,14.812089499784634,5
interaction:theta_x_Ksmax,200,1.1,128,1.0,0.0,1.0,1.0,5,89.8,7.19444229944198,77.0,96.0,5,0.2027560007470282,0.05832583184982827,0.1236706751344619,0.2662375882730061,5,10.330086580086581,7.503801751287486,4.166666666666667,25.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.903322839923202,0.12423280436000615,14.716640499653295,15.048693499993533,5
interaction:theta_x_Ksmax,200,1.1,256,1.0,0.0,1.0,1.0,5,89.8,7.19444229944198,77.0,96.0,5,0.2027560007470282,0.05832583184982827,0.1236706751344619,0.2662375882730061,5,10.330086580086581,7.503801751287486,4.166666666666667,25.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.835738780116662,0.2031800953879707,14.584715400123969,15.131242700153962,5
interaction:theta_x_Ksmax,200,1.1,312,1.0,0.0,1.0,1.0,5,89.8,7.19444229944198,77.0,96.0,5,0.2027560007470282,0.05832583184982827,0.1236706751344619,0.2662375882730061,5,10.330086580086581,7.503801751287486,4.166666666666667,25.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.91674106004648,0.145385671176957,14.626609700033441,15.004920900100842,5
interaction:theta_x_Ksmax,300,0.9,128,1.0,0.0,1.0,1.0,5,142.4,8.890444308357146,131.0,157.0,5,0.19295577940227562,0.03257527674113582,0.1405172281804376,0.24111619760584613,5,11.231527327804605,5.212583353792788,4.878048780487805,20.0,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,17.989655279880388,0.8462027852426369,17.392938900040463,19.669083999935538,5
interaction:theta_x_Ksmax,300,0.9,256,1.0,0.0,1.0,1.0,5,137.2,2.227105745132009,134.0,139.0,5,0.13710116142995735,0.02743421272085003,0.10938784566465862,0.18444486883494748,5,11.766240107703524,2.8256407849667293,7.142857142857143,14.814814814814815,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.084427980007604,0.14485117384413235,14.858014300232753,15.296171100111678,5
interaction:theta_x_Ksmax,300,0.9,312,1.0,0.0,1.0,1.0,5,137.2,2.227105745132009,134.0,139.0,5,0.13710116142995735,0.02743421272085003,0.10938784566465862,0.18444486883494748,5,11.766240107703524,2.8256407849667293,7.142857142857143,14.814814814814815,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.901591680012643,0.2044281182677355,14.682908199727535,15.149364200420678,5
interaction:theta_x_Ksmax,300,1.0,128,1.0,0.0,1.0,1.0,5,131.6,10.131140113531153,121.0,146.0,5,0.2287931134430289,0.07087138857860975,0.13663371819060294,0.3427251947687872,5,11.902425073156781,3.7735809214006837,7.317073170731708,16.216216216216218,5,1.6,0.4898979485566356,1.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.144594680005685,0.19469677632863194,14.878372399834916,15.375510399695486,5
interaction:theta_x_Ksmax,300,1.0,256,1.0,0.0,1.0,1.0,5,128.8,4.534313619501853,121.0,135.0,5,0.19758524714612408,0.03583155959027464,0.15633728049722037,0.25740356842606255,5,13.65361877557,4.246027071156438,7.142857142857143,19.51219512195122,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.011889100028203,0.2218082286897306,14.79121490009129,15.425426000030711,5
interaction:theta_x_Ksmax,300,1.0,312,1.0,0.0,1.0,1.0,5,128.8,4.534313619501853,121.0,135.0,5,0.19758524714612408,0.03583155959027464,0.15633728049722037,0.25740356842606255,5,13.65361877557,4.246027071156438,7.142857142857143,19.51219512195122,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.129178959969432,0.19051088151163717,14.90980549971573,15.410455599892884,5
interaction:theta_x_Ksmax,300,1.1,128,1.0,0.0,1.0,1.0,5,124.6,5.2,118.0,134.0,5,0.2567525211181417,0.08207767039528756,0.17479685105404943,0.37024965722748027,5,13.025499366962782,1.6931483199265842,10.81081081081081,14.634146341463415,5,1.2,0.4000000000000001,1.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.07248182008043,0.18315526724132863,14.834266999969259,15.32373690023087,5
interaction:theta_x_Ksmax,300,1.1,256,1.0,0.0,1.0,1.0,5,124.2,4.489988864128729,118.0,132.0,5,0.21064899158087239,0.08598355814815493,0.11132286482444367,0.37024965722748027,5,13.025499366962782,1.6931483199265842,10.81081081081081,14.634146341463415,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.001560299890116,0.2597607369100213,14.783550399821252,15.373249900061637,5
interaction:theta_x_Ksmax,300,1.1,312,1.0,0.0,1.0,1.0,5,124.2,4.489988864128729,118.0,132.0,5,0.21064899158087239,0.08598355814815493,0.11132286482444367,0.37024965722748027,5,13.025499366962782,1.6931483199265842,10.81081081081081,14.634146341463415,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.16488728011027,0.1594749974872336,14.93521870020777,15.377640700433403,5
interaction:theta_x_Ksmax,400,0.9,128,1.0,0.0,1.0,1.0,5,179.2,12.448293055676348,167.0,198.0,5,0.19079716429795252,0.05540342370125085,0.13345754165245388,0.29067975728409373,5,8.906340129703416,3.3262311240467657,5.0,14.545454545454545,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,19.454985299985857,0.4112052654918803,18.98122339975089,20.06908050039783,5
interaction:theta_x_Ksmax,400,0.9,256,1.0,0.0,1.0,1.0,5,171.6,8.499411744350313,164.0,188.0,5,0.17135679953254968,0.06000201204667932,0.11465203438656733,0.2873955901150486,5,10.413517163196238,5.710342666979309,7.142857142857143,21.818181818181817,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.94950869991444,0.12589315326388514,14.755976299522445,15.125964499777183,5
interaction:theta_x_Ksmax,400,0.9,312,1.0,0.0,1.0,1.0,5,171.6,8.499411744350313,164.0,188.0,5,0.17135679953254968,0.06000201204667932,0.11465203438656733,0.2873955901150486,5,10.413517163196238,5.710342666979309,7.142857142857143,21.818181818181817,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.068080219952389,0.18347342723220889,14.746615800075233,15.247442299965769,5
interaction:theta_x_Ksmax,400,1.0,128,1.0,0.0,1.0,1.0,5,168.4,12.338557452149745,156.0,187.0,5,0.2772989340850408,0.1504249251405117,0.17173414323663455,0.5744953730629615,5,9.446993314772518,3.1814559226689414,5.2631578947368425,14.634146341463415,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.19285705992952,0.22866988650977688,14.873353199800476,15.461684999754652,5
