tag,x_name,x_value,n_users,payload_feasible_mean,payload_feasible_std,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_std,K_min,K_max,K_n,U_max_mean,U_max_std,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_std,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,ms_n_active_mean,ms_n_active_std,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_std,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_std,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_std,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_std,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_std,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
one_factor:Ks_max,Ks_max,128.0,100,1.0,0.0,1.0,1.0,5,55.6,3.7735924528226414,49.0,59.0,5,0.09164429469908868,0.019835605241076054,0.07466771707721992,0.1287959018293213,5,16.48962148962149,8.777725041372438,8.333333333333334,33.333333333333336,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.02025855993852,0.19980502735806974,14.767162199830636,15.269484699936584,5
one_factor:Ks_max,Ks_max,128.0,200,1.0,0.0,1.0,1.0,5,95.4,4.2708313008125245,89.0,101.0,5,0.16682591193042212,0.05482429423015508,0.11771690913466057,0.2686461780323341,5,10.643939393939394,7.29636310777849,0.0,18.75,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.109629039932042,0.2598380362557236,14.849626899929717,15.601898099994287,5
one_factor:Ks_max,Ks_max,128.0,300,1.0,0.0,1.0,1.0,5,131.6,10.131140113531153,121.0,146.0,5,0.2287931134430289,0.07087138857860975,0.13663371819060294,0.3427251947687872,5,11.902425073156781,3.7735809214006837,7.317073170731708,16.216216216216218,5,1.6,0.4898979485566356,1.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,14.955495439982041,0.09568860365204014,14.796447799773887,15.053065299987793,5
one_factor:Ks_max,Ks_max,128.0,400,1.0,0.0,1.0,1.0,5,168.4,12.338557452149745,156.0,187.0,5,0.2772989340850408,0.1504249251405117,0.17173414323663455,0.5744953730629615,5,9.446993314772518,3.1814559226689414,5.2631578947368425,14.634146341463415,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.17012222004123,0.17045432402668775,15.00114530022256,15.442636100109667,5
one_factor:Ks_max,Ks_max,128.0,500,1.0,0.0,1.0,1.0,5,194.0,11.696153213770756,182.0,211.0,5,0.19003371796079072,0.03785829676714184,0.153260161389529,0.26183900342494376,5,8.520408163265305,2.807673819311364,5.357142857142857,12.244897959183673,5,2.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.254718539956958,0.36731383692726555,14.92009300016798,15.901000999845564,5
one_factor:Ks_max,Ks_max,128.0,600,1.0,0.0,1.0,1.0,5,228.6,12.86234815265082,213.0,248.0,5,0.2415052120487243,0.07398613504976553,0.1250079908795367,0.32585726747192656,5,12.610929117409677,3.8017702912112745,6.666666666666667,17.647058823529413,5,2.6,0.4898979485566356,2.0,3.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.854243019782007,0.915875752832793,15.109801900107414,17.62097969977185,5
one_factor:Ks_max,Ks_max,128.0,700,1.0,0.0,1.0,1.0,5,266.4,8.16333265278342,254.0,276.0,5,0.27035713723423155,0.09030295023402447,0.14621191168846373,0.4090390610237503,5,9.079505072042386,5.084701725462255,4.166666666666667,18.181818181818183,5,3.0,0.0,3.0,3.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,16.314733119914308,0.8355849846330485,15.476706399815157,17.8542148002889,5
one_factor:Ks_max,Ks_max,128.0,800,1.0,0.0,1.0,1.0,5,292.4,17.29277305697383,277.0,314.0,5,0.31027674810972555,0.11820563558252177,0.15031563834266243,0.5000384648561038,5,9.550880845130655,2.5945950281071615,5.333333333333333,11.842105263157896,5,3.0,0.0,3.0,3.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,16.80039432020858,0.5826118623283969,15.892085200408474,17.48057570005767,5
one_factor:Ks_max,Ks_max,128.0,900,1.0,0.0,1.0,1.0,5,315.0,18.3412104289766,291.0,340.0,5,0.32879955471908284,0.1526748211435155,0.11506246041874774,0.5178725194489274,5,8.97210302715896,3.078526693685121,4.444444444444445,12.987012987012987,5,3.0,0.0,3.0,3.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,15.757665920024738,0.15831913455446053,15.53558099991642,15.91657010000199,5
one_factor:Ks_max,Ks_max,128.0,1000,1.0,0.0,1.0,1.0,5,333.0,14.710540438746634,312.0,358.0,5,0.2937090388509238,0.1326828552074204,0.1584373753586266,0.5348525660247057,5,9.513599527046171,1.797414474037873,6.422018348623853,11.650485436893204,5,3.8,0.7483314773547882,3.0,5.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,20.78615812016651,6.603845931724976,15.756053000222892,32.66873800009489,5
