SENSITIVITY TABLES

====================================================================================================
ONE-FACTOR SUMMARY

                                 tag                    x_name  x_value  n_users  payload_feasible_mean  payload_feasible_std  payload_feasible_min  payload_feasible_max  payload_feasible_n  K_mean     K_std  K_min  K_max  K_n  U_max_mean  U_max_std  U_max_min  U_max_max  U_max_n  ent_edge_pct_mean  ent_edge_pct_std  ent_edge_pct_min  ent_edge_pct_max  ent_edge_pct_n  ms_n_active_mean  ms_n_active_std  ms_n_active_min  ms_n_active_max  ms_n_active_n  payload_n_viol_K_mean  payload_n_viol_K_std  payload_n_viol_K_min  payload_n_viol_K_max  payload_n_viol_K_n  payload_n_viol_T_mean  payload_n_viol_T_std  payload_n_viol_T_min  payload_n_viol_T_max  payload_n_viol_T_n  payload_K_over_sum_mean  payload_K_over_sum_std  payload_K_over_sum_min  payload_K_over_sum_max  payload_K_over_sum_n  payload_T_over_sum_mean  payload_T_over_sum_std  payload_T_over_sum_min  payload_T_over_sum_max  payload_T_over_sum_n  runtime_total_s_mean  runtime_total_s_std  runtime_total_s_min  runtime_total_s_max  runtime_total_s_n
                   one_factor:Ks_max                    Ks_max    128.0      100                    1.0                   0.0                   1.0                   1.0                   5    55.6  3.773592   49.0   59.0    5    0.091644   0.019836   0.074668   0.128796        5          16.489621          8.777725          8.333333         33.333333               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.020259             0.199805            14.767162            15.269485                  5
                   one_factor:Ks_max                    Ks_max    128.0      200                    1.0                   0.0                   1.0                   1.0                   5    95.4  4.270831   89.0  101.0    5    0.166826   0.054824   0.117717   0.268646        5          10.643939          7.296363          0.000000         18.750000               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.109629             0.259838            14.849627            15.601898                  5
                   one_factor:Ks_max                    Ks_max    128.0      300                    1.0                   0.0                   1.0                   1.0                   5   131.6 10.131140  121.0  146.0    5    0.228793   0.070871   0.136634   0.342725        5          11.902425          3.773581          7.317073         16.216216               5               1.6         0.489898              1.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.955495             0.095689            14.796448            15.053065                  5
                   one_factor:Ks_max                    Ks_max    128.0      400                    1.0                   0.0                   1.0                   1.0                   5   168.4 12.338557  156.0  187.0    5    0.277299   0.150425   0.171734   0.574495        5           9.446993          3.181456          5.263158         14.634146               5               2.0         0.000000              2.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.170122             0.170454            15.001145            15.442636                  5
                   one_factor:Ks_max                    Ks_max    128.0      500                    1.0                   0.0                   1.0                   1.0                   5   194.0 11.696153  182.0  211.0    5    0.190034   0.037858   0.153260   0.261839        5           8.520408          2.807674          5.357143         12.244898               5               2.0         0.000000              2.0              2.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.254719             0.367314            14.920093            15.901001                  5
                   one_factor:Ks_max                    Ks_max    128.0      600                    1.0                   0.0                   1.0                   1.0                   5   228.6 12.862348  213.0  248.0    5    0.241505   0.073986   0.125008   0.325857        5          12.610929          3.801770          6.666667         17.647059               5               2.6         0.489898              2.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.854243             0.915876            15.109802            17.620980                  5
                   one_factor:Ks_max                    Ks_max    128.0      700                    1.0                   0.0                   1.0                   1.0                   5   266.4  8.163333  254.0  276.0    5    0.270357   0.090303   0.146212   0.409039        5           9.079505          5.084702          4.166667         18.181818               5               3.0         0.000000              3.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             16.314733             0.835585            15.476706            17.854215                  5
                   one_factor:Ks_max                    Ks_max    128.0      800                    1.0                   0.0                   1.0                   1.0                   5   292.4 17.292773  277.0  314.0    5    0.310277   0.118206   0.150316   0.500038        5           9.550881          2.594595          5.333333         11.842105               5               3.0         0.000000              3.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             16.800394             0.582612            15.892085            17.480576                  5
                   one_factor:Ks_max                    Ks_max    128.0      900                    1.0                   0.0                   1.0                   1.0                   5   315.0 18.341210  291.0  340.0    5    0.328800   0.152675   0.115062   0.517873        5           8.972103          3.078527          4.444444         12.987013               5               3.0         0.000000              3.0              3.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             15.757666             0.158319            15.535581            15.916570                  5
                   one_factor:Ks_max                    Ks_max    128.0     1000                    1.0                   0.0                   1.0                   1.0                   5   333.0 14.710540  312.0  358.0    5    0.293709   0.132683   0.158437   0.534853        5           9.513600          1.797414          6.422018         11.650485               5               3.8         0.748331              3.0              5.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             20.786158             6.603846            15.756053            32.668738                  5
                   one_factor:Ks_max                    Ks_max    128.0     1500                    1.0                   0.0                   1.0                   1.0                   5   452.2 21.784398  433.0  491.0    5    0.477255   0.118245   0.311230   0.648724        5           8.733684          1.894809          6.081081         11.801242               5               5.4         0.800000              4.0              6.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             30.059515             9.951534            17.744379            45.993987                  5
                   one_factor:Ks_max                    Ks_max    128.0     2000                    1.0                   0.0                   1.0                   1.0                   5   538.8 29.572961  504.0  581.0    5    0.414265   0.094714   0.239590   0.518576        5           8.663217          2.147788          6.372549         12.440191               5               5.8         0.979796              4.0              7.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             38.133653             9.999447            28.449017            55.289371                  5
